rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
6,1903,1,0,0,0,2,0,7,0,0,0,1,0,98,['FR'],Short
7,1997,49,0,1,0,102,1,1,0,0,0,1,0,10,['US'],"Action,Comedy,Crime"
9,2013,50,0,21,0,17,0,3,0,0,0,1,0,8,['US'],Crime
5,1994,90,0,2,0,90,2,3,0,0,0,7,0,92,['US'],"Action,Comedy,Drama"
6,1936,7,0,1,0,7,0,7,0,0,0,2,5,128,['US'],"Animation,Comedy,Family"
6,1957,8,0,1,0,10,0,7,0,0,0,1,3,49,['US'],"Documentary,Short,Sport"
8,2013,60,0,2,0,30,0,8,0,0,0,1,0,15,['GB'],"Documentary,Music"
9,1990,48,0,5,0,104,0,1,0,0,0,1,0,43,['US'],Drama
7,2022,45,0,11,4,64,16,4,0,1,0,33,57,6785,['US'],"Crime,Documentary"
8,2007,85,0,2,0,15,3,3,0,0,0,1,0,30,['DE'],Documentary
8,2015,59,0,1,0,115,0,1,0,0,0,1,8,579,"['GB', 'GP']","Comedy,Crime,Drama"
7,2007,15,0,0,0,16,0,7,0,0,0,1,0,5,['US'],"Drama,Short"
7,1995,185,0,2,0,140,2,6,1,1,0,9,16,443,['US'],"Drama,Thriller"
8,1997,58,0,17,0,153,6,1,0,0,0,1,7,3782,['US'],"Adventure,Crime,Drama"
9,2020,67,0,15,0,315,13,1,0,0,0,1,50,2873,['US'],"Adventure,Drama,Fantasy"
8,2016,21,0,18,3,147,3,1,0,0,0,1,1,1214,['US'],Comedy
8,2022,58,0,49,0,45,0,1,0,0,0,7,0,76,['AR'],"Crime,Drama,Mystery"
4,2011,87,0,1,0,35,2,3,0,0,0,2,0,310,['RU'],"Comedy,Drama"
7,2024,126,2,1,0,7,10,3,1,0,0,1,1,18,['KR'],Thriller
6,2022,86,0,6,1,62,2,8,0,0,0,2,2,86,['US'],Thriller
5,2020,58,0,1,0,30,0,3,0,0,0,1,1,23,['GB'],Documentary
7,1952,58,0,13,0,30,6,3,0,0,0,5,2,106,['XWG'],Drama
7,2010,24,0,1,0,18,0,4,0,1,0,1,1,23,['GB'],Documentary
6,1911,17,0,1,0,15,0,7,0,0,0,1,1,26,['US'],"Drama,Short"
6,1991,118,7,0,0,15,0,3,0,0,0,2,0,15,['JP'],Drama
6,2023,58,0,2,0,35,0,3,0,0,0,3,0,10,['US'],Thriller
6,2018,58,0,28,1,37,5,3,0,0,0,24,6,1346,['KR'],"Crime,Drama,Romance"
8,2016,49,0,17,0,232,9,1,0,0,0,1,4,3102,['US'],"Drama,Horror,Sci-Fi"
9,2017,104,0,7,1,49,11,3,3,0,0,1,1,56,['IN'],Drama
8,1950,7,0,1,0,18,1,7,0,0,0,1,1,48,['US'],"Animation,Romance,Short"
7,1974,114,0,6,0,74,1,3,0,0,0,9,4,116,['IT'],"Crime,Drama"
7,1936,75,0,10,0,20,0,3,0,0,0,2,0,137,['SUHH'],"Comedy,Musical,Sport"
8,1997,21,0,1,0,16,0,7,0,0,0,1,5,89,['US'],"Action,Comedy,Short"
8,1985,48,0,1,0,79,0,1,0,0,0,1,0,75,"['US', 'GB']","Drama,Romance"
9,1975,28,0,0,0,41,0,1,0,0,0,1,0,11,['US'],"Family,Fantasy,Music"
9,2016,23,3,4,0,16,0,7,3,0,0,2,0,10,['BR'],"Documentary,Short"
7,2012,58,0,1,0,28,0,3,0,0,0,1,0,11,['IT'],Drama
7,1947,77,0,13,0,49,0,3,0,0,0,10,0,82,['SUHH'],"Comedy,Musical,Romance"
6,1994,91,1,12,1,67,3,3,0,0,0,12,6,280,['US'],"Drama,Fantasy"
7,1932,58,0,2,0,6,0,7,0,0,0,1,1,180,['US'],Short
6,2018,96,0,20,1,663,8,3,0,0,0,19,31,5226,['US'],"Drama,Sport"
6,2021,79,1,6,1,105,13,3,3,0,0,21,3,322,"['AR', 'BR', 'CL']","Drama,Fantasy,Mystery"
6,2009,58,0,1,0,8,0,5,0,0,0,1,1,10,['US'],"Documentary,Short"
9,1972,30,0,11,0,29,1,1,0,0,0,1,4,100,['GB'],Comedy
8,2020,91,0,17,1,151,5,3,1,0,0,3,5,144,['US'],"Biography,Documentary"
6,2005,60,0,1,0,175,0,4,0,1,0,3,0,95,['DE'],"Comedy,Drama,Romance"
6,1993,58,0,1,0,23,0,3,0,0,0,1,0,15,['IN'],Drama
6,1955,77,0,4,0,71,10,3,0,0,0,9,15,532,['US'],"Crime,Drama,Film-Noir"
4,1974,67,0,0,0,12,0,3,0,0,1,2,1,11,['US'],Adult
5,1994,30,0,4,0,9,0,4,0,1,0,1,0,35,['DE'],Game-Show
7,2022,29,0,0,0,69,0,1,0,0,0,1,0,17,['GB'],"Comedy,Game-Show"
7,1995,58,0,1,0,46,0,5,0,0,0,1,0,9,['US'],"Drama,Family,Musical"
6,2018,88,0,2,0,5,0,3,0,0,0,5,0,43,['VN'],"Drama,Romance"
7,1999,60,0,1,0,25,0,1,0,0,0,7,0,9,['AR'],"Comedy,Drama,Romance"
7,2006,106,0,27,1,14,1,3,0,0,0,5,3,133,['KR'],Romance
8,1990,137,0,1,0,31,0,3,0,0,0,1,0,18,['IN'],Drama
8,2016,43,0,2,0,131,0,1,0,0,0,1,0,287,['US'],"Action,Crime,Drama"
7,2022,58,0,16,0,15,0,4,1,1,0,1,0,10,['NO'],Reality-TV
9,2022,22,0,4,0,6,0,7,0,0,0,1,0,6,['US'],"Horror,Short"
7,1987,87,2,2,0,108,0,3,2,0,0,5,3,84,['FR'],"Drama,History,War"
8,2023,14,0,1,0,38,3,7,1,0,0,1,0,24,['US'],Short
7,1966,30,0,12,0,39,0,1,0,0,0,1,5,222,['US'],"Comedy,Family"
6,2007,85,0,2,0,27,4,5,0,0,0,1,1,49,['US'],Horror
9,1996,43,0,220,0,99,1,1,0,0,0,1,2,713,['US'],"Action,Adventure,Drama"
4,2009,58,0,2,0,47,0,3,0,0,0,2,0,23,['IN'],"Crime,Drama,Mystery"
8,1965,30,0,0,0,31,0,1,0,0,0,1,0,11,['US'],Drama
6,1976,42,0,19,0,19,0,8,0,0,0,1,0,9,['CSHH'],Comedy
6,1898,1,0,1,0,0,0,7,0,0,0,2,1,78,['FR'],"Documentary,Short"
8,1997,58,0,1,1,32,0,2,0,0,0,1,0,28,['JP'],"Action,Adventure,Sci-Fi"
6,1989,58,0,1,0,20,0,3,0,0,0,1,0,16,['IN'],Drama
9,1999,58,0,0,0,24,0,1,0,0,0,1,1,11,['US'],"Biography,Documentary,Music"
4,2022,88,0,3,0,22,0,3,0,0,0,5,0,8,['TH'],"Comedy,Horror"
9,2019,66,0,1,1,9,1,3,0,0,0,1,1,26,['US'],Documentary
8,1970,51,0,1,0,36,0,1,0,0,0,1,0,38,['US'],"Action,Adventure,Crime"
8,1987,62,0,0,0,9,0,3,0,0,1,1,0,132,['US'],Adult
9,1999,58,0,1,0,81,0,1,0,0,0,1,0,62,['US'],"Drama,Family,Fantasy"
7,1975,58,2,8,1,73,38,3,3,0,0,19,29,2048,['US'],"Drama,Romance"
6,2006,58,0,0,0,121,0,1,0,0,0,7,0,13,['TR'],"Action,Drama,Romance"
7,1994,101,0,23,0,38,1,3,0,0,0,3,0,72,['JP'],"Comedy,Drama"
7,1983,42,0,0,0,6,0,5,0,0,1,1,0,12,['US'],"Adult,Short"
7,1936,18,0,8,0,28,0,7,0,0,0,1,1,10,['US'],"Comedy,Short"
8,1982,30,0,11,0,76,0,1,0,0,0,1,6,1227,['US'],"Comedy,Drama"
6,2008,58,0,27,0,138,0,4,0,1,0,3,0,136,['CA'],"Animation,Comedy"
8,1986,240,0,3,0,74,0,4,0,1,0,13,3,136,"['IT', 'FR', 'XWG', 'ES']",Drama
6,1986,67,0,0,0,16,0,5,0,0,1,1,1,116,['US'],"Adult,Comedy"
9,2014,58,0,2,0,9,0,3,1,0,0,3,1,92,"['GR', 'US']","Biography,Documentary,Family"
7,1995,21,0,9,0,4,0,1,0,0,0,1,0,10,"['CA', 'US']","Action,Animation,Sci-Fi"
7,1993,12,3,9,0,46,0,7,3,0,0,7,9,1043,"['CA', 'GB']","Animation,Comedy,Short"
6,1990,58,0,101,0,0,5,2,0,0,0,2,0,12,['GB'],Action
